subject,culture,task_name,stimulus,stimulus,trial_num,codeable,first_mention_focal,coder
SS1651868755995,US,FD,media/images/free_description/01-boat-river.jpg,A boat moored to a riverbank near a house.,3,1,1,acao
SS1651869117517,US,FD,media/images/free_description/01-boat-river.jpg,I saw a boat in a canal. It was docked in front of a house.,4,1,1,acao
SS1651624230659,US,FD,media/images/free_description/01-boat-river.jpg,i saw a bike chained up to a pole,7,0,0,acao
SS1651691673018,US,FD,media/images/free_description/01-boat-river.jpg,A boat rests on a smaller river bed with a nice looking cottage like house near the river.,5,1,1,acao
SS1651870376242,US,FD,media/images/free_description/01-boat-river.jpg,"A boat in a river. It is pulled over to the bank of a river, near some stones and grass. There are houses lining the river.",3,1,1,acao
SS1651678462364,US,FD,media/images/free_description/01-boat-river.jpg,There's a boat on a  river.  It looks like a coastal area.  It's  a bright and sunny day.,1,1,1,acao
SS1651678386286,US,FD,media/images/free_description/01-boat-river.jpg,there is a boat in the water. There is a house to the left.,7,1,1,acao
SS1651868901145,US,FD,media/images/free_description/01-boat-river.jpg,I saw a canoe sitting in a river. The canoe was tied up to the sidewalk near the river.,7,1,1,acao
SS1651690711805,US,FD,media/images/free_description/01-boat-river.jpg,A boat in a lake near a poor neighborhood.,6,1,1,acao
SS1651690678388,US,FD,media/images/free_description/01-boat-river.jpg,I saw what looked like a jungle boat in a canal.  The canal was full of water and surrounded by green trees and electric posts.,6,1,1,acao
SS1651868487521,US,FD,media/images/free_description/01-boat-river.jpg,A boat docked on a river. It is a foggy day.,6,1,1,acao
SS1651690678231,US,FD,media/images/free_description/01-boat-river.jpg,A small boat pulled up on shore on the side of a lake.  The lake is next to a town.,5,1,1,acao
SS1651868738305,US,FD,media/images/free_description/01-boat-river.jpg,A small boat floating on a river that appears to be intersecting a small town or suburb.,4,1,1,acao
SS1651678198123,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat that's in the water. It is currently raining in the picture.,4,1,1,acao
SS1651690729593,US,FD,media/images/free_description/01-boat-river.jpg,A boat is on the bank of a canal that runs on the side of a village. There is a white house beside the canal and another building further down that looks to be red brick.,6,1,1,acao
SS1651678327719,US,FD,media/images/free_description/01-boat-river.jpg,"There was a river that seemed a bit dirty and unused much. I boat could be found on the bank, that was also a bit rundown and looks as though it hadn't been used in a while.",1,1,0,acao
SS1651616858489,US,FD,media/images/free_description/02-bike.jpg,A bike locked up to a pole.  It is in front of a field,1,1,1,acao
SS1651868714312,US,FD,media/images/free_description/02-bike.jpg,It is a photo of a bicycle. It is a red bicycle. It is locked to a fence with a blue bicycle lock.,2,1,1,acao
SS1651678298946,US,FD,media/images/free_description/02-bike.jpg,"There is a bicycle in the foreground and a green lawn behind it.  You can partially see the building the lawn belongs to behind that. 

",2,1,1,acao
SS1651868710355,US,FD,media/images/free_description/02-bike.jpg,I saw a red bicycle.  It was chained to a post by the park.,7,1,1,acao
SS1651678274966,US,FD,media/images/free_description/02-bike.jpg,A red bike is tied to a black post. There is a white building behind it with a green lawn,7,1,1,acao
SS1651678256204,US,FD,media/images/free_description/02-bike.jpg,I have seen a bicycle. It looks a mountain bike.,1,1,1,acao
SS1651678221331,US,FD,media/images/free_description/02-bike.jpg,This is a red bike leaning against a post. In the background is a well-manicured lawn. Seems to be in the UK.,2,1,1,acao
SS1651871889261,US,FD,media/images/free_description/02-bike.jpg,A bicycle that is chained to a pole. It looks to be in front of a place of business,5,1,1,acao
SS1651868720723,US,FD,media/images/free_description/02-bike.jpg,A bicycle is parked on the side of the road near a lamppost. I think the bicycle is red.,7,1,1,acao
SS1651616827589,US,FD,media/images/free_description/02-bike.jpg,I saw a bike high up like LGBTQ.,7,1,1,acao
SS1651868487521,US,FD,media/images/free_description/02-bike.jpg,A bicycle chained to a metal pole. There is a nice green healthy looking lawn.,4,1,1,acao
SS1651678637077,US,FD,media/images/free_description/02-bike.jpg,"This was a red mountain bike parked near an old building, perhaps a school. There were many other bikes parked against the building.",5,1,1,acao
SS1651616838947,US,FD,media/images/free_description/02-bike.jpg,A red bike is chained to a black fence post.,7,1,1,acao
SS1651868812123,US,FD,media/images/free_description/02-bike.jpg,Red bike against a post grass on from there. A tree to the left blue outhouse in front of a building,1,1,1,acao
SS1651869609511,US,FD,media/images/free_description/02-bike.jpg,"There is a bicycle leaning against a railing of sorts, on a cobblestone street. There was also grass, some buildings and a tree.",5,1,1,acao
SS1651690741942,US,FD,media/images/free_description/02-bike.jpg,A bike is chained up. The colors of the bike is red and black.,3,1,1,acao
SS1651678262854,US,FD,media/images/free_description/02-bike.jpg,A red bike sitting against a fence. Many more bikes are lined up against a building in the background.,7,1,1,acao
SS1651678246113,US,FD,media/images/free_description/02-bike.jpg,There is a bike leaning up against a fence post. In the background is grass and beyond that there are more bikes on a bike rack.,5,1,1,acao
SS1651869017878,US,FD,media/images/free_description/02-bike.jpg,I saw a red bicycle parked next to a fence post. There was a patch of grass beyond the fence and a building in the background.,7,1,1,acao
SS1651868755995,US,FD,media/images/free_description/02-bike.jpg,There was a bike parked in front of a green lawn which had a building in the background and a blue portable toilet.,1,1,1,acao
SS1651678574838,US,FD,media/images/free_description/02-bike.jpg,There is a bicycle locked to a post.  The post is at the sidewalk in front of a house.,3,1,1,acao
SS1651697396411,US,FD,media/images/free_description/02-bike.jpg,A red bike by a fence. There are more bikes in the distance,7,1,1,acao
SS1651616844450,US,FD,media/images/free_description/02-bike.jpg,I missed the picture. I did not see it.,5,0,0,acao
SS1651690683219,US,FD,media/images/free_description/02-bike.jpg,"There's a bike on a walkway that is tied to a fence. In the background, there is a house.",6,1,1,acao
SS1651678270245,US,FD,media/images/free_description/02-bike.jpg,A red bicycle in chained to a decorative black fence on a cobblestone road. There is grass and a building in the background.,4,1,1,acao
SS1651690892118,US,FD,media/images/free_description/02-bike.jpg,"I see a well maintained yard and a stone sidewalk.  There is a red bicycle chained to a fence pole.  The fence is black, and is just a single line of linked chains for decorative effect.",2,1,0,acao
SS1651678474300,US,FD,media/images/free_description/02-bike.jpg,Bicycle locked on post. There are several bikes in background across the lawn.,5,1,1,acao
SS1651624230659,US,FD,media/images/free_description/03-plane.jpg,aircraft flying,3,1,1,acao
SS1651678260331,US,FD,media/images/free_description/03-plane.jpg,This scene is of a Phantom F-4 fighter jet flying at very low altitude over what appears to be the Potomac river. It looks like the Capitol building in the background. This definitely looks photoshopped.,4,1,1,acao
SS1651868901145,US,FD,media/images/free_description/03-plane.jpg,I saw what looked like a spaceship flying above a pond. There was a white building in the background.,2,1,1,acao
SS1651678270245,US,FD,media/images/free_description/03-plane.jpg,"There is a white plane, maybe some kind of war plane. It's flying low over a small lake. There are trees and a fancy building in the distance",2,1,1,acao
SS1651678270524,US,FD,media/images/free_description/03-plane.jpg,I saw an airplane flying over a lake.  There was a building in the background with lots of trees around it.,1,1,1,acao
SS1651678259296,US,FD,media/images/free_description/03-plane.jpg,A large aircraft takes off over water. The landscape is a beautiful wetland.,2,1,1,acao
SS1651680994828,US,FD,media/images/free_description/03-plane.jpg,There is a plane flying above some water. A building with a pointy top rests in the background,7,1,1,acao
SS1651678253736,US,FD,media/images/free_description/03-plane.jpg,it was a airplane flying low in the air over a body of water and it was close to the body of water,2,1,1,acao
SS1651868837282,US,FD,media/images/free_description/03-plane.jpg,A MIG jet is landing near a small body of water. In the distance is a large gold onion spire on some type of temple or government building.,4,1,1,acao
SS1651679569580,US,FD,media/images/free_description/03-plane.jpg,A jet fighter flying over a cambodian-style temple and river,6,1,1,acao
SS1651869128913,US,FD,media/images/free_description/03-plane.jpg,A bike is locked up on a post next to a lawn. There's a building in the background.,6,0,0,acao
SS1651869192697,US,FD,media/images/free_description/03-plane.jpg,"A cross between an airplane and space ship flying over a wetland area. There is a temple in the background.
",2,1,1,acao
SS1651616843053,US,FD,media/images/free_description/03-plane.jpg,There was a plane flying low. It was over water.,7,1,1,acao
SS1651678206055,US,FD,media/images/free_description/03-plane.jpg,I saw a plane. The plane was flying over water.,6,1,1,acao
SS1651617310480,US,FD,media/images/free_description/03-plane.jpg,A fighter plane was hovering over a body of water.,6,1,1,acao
SS1651678271326,US,FD,media/images/free_description/03-plane.jpg,"I saw a jet that was flying over a body of water. In the background, there was a building that may have been a temple of some kind.",1,1,1,acao
SS1651678221331,US,FD,media/images/free_description/03-plane.jpg,Fighter jet over a body of water in SE Asia. Jet looks superimposed. Almost like a collage.,4,1,1,acao
SS1651678278178,US,FD,media/images/free_description/03-plane.jpg,a fighter jet flying low over water with trees and a temple in the background,2,1,1,acao
SS1651678229872,US,FD,media/images/free_description/03-plane.jpg,A jet flying over a river.The jet was high in the air.,3,1,1,acao
SS1651616841972,US,FD,media/images/free_description/03-plane.jpg,There is an airplane flying over a bed of water. There is a lot of greenery in the background as well as a pointy white building in the back.,5,1,1,acao
SS1651690732177,US,FD,media/images/free_description/03-plane.jpg,jet flying over some water. there is a temple in the distance,5,1,1,acao
SS1651691175620,US,FD,media/images/free_description/03-plane.jpg,"I saw a plane going over water with overgrown trees in the background. One large building was seen in the background, and the sky was clear and blue.",1,1,1,acao
SS1651691673018,US,FD,media/images/free_description/03-plane.jpg,A large jet is seen flying very closely to a pond. There is a visible steeple in the background.,2,1,1,acao
SS1651869119140,US,FD,media/images/free_description/03-plane.jpg,A plane flying over water. There were trees and a building in the background.,7,1,1,acao
SS1651678574838,US,FD,media/images/free_description/03-plane.jpg,An airplane is seen above a building.  The building has a pointed top.  There is a pond in front of the building.,1,1,1,acao
SS1651868773205,US,FD,media/images/free_description/03-plane.jpg,I saw an aircraft.,6,1,1,acao
SS1651616861128,US,FD,media/images/free_description/03-plane.jpg,choo choo train,6,0,0,acao
SS1651678386286,US,FD,media/images/free_description/03-plane.jpg,The plane is flying over the water. There is a building in the back round,4,1,1,acao
SS1651690674639,US,FD,media/images/free_description/03-plane.jpg,A plan flying over a lake. There's a building in the background,2,1,1,acao
SS1651616824013,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel stays on the branch of the tree.,6,1,1,acao
SS1651678474300,US,FD,media/images/free_description/04-squirrel.jpg,Squirrel in a tree. Background looks like school.,3,1,1,acao
SS1651678226524,US,FD,media/images/free_description/04-squirrel.jpg,i see a squirrel perched on top of a tree. There are trees in the back and building.,7,1,1,acao
SS1651616843053,US,FD,media/images/free_description/04-squirrel.jpg,This was a squirrel on a branch. Looked like a park with three street lamps in the distance.,2,1,1,acao
SS1651690926515,US,FD,media/images/free_description/04-squirrel.jpg,"A squirrel on a tree branch with a very large, fluffy tail. It looks to be a park with walking paths maybe and street lamps in the background.",7,1,1,acao
SS1651678252935,US,FD,media/images/free_description/04-squirrel.jpg,There is a closeup of a squirrel in a tree.,6,1,1,acao
SS1651870443746,US,FD,media/images/free_description/04-squirrel.jpg,There's a chipmunk on a branch in a tree that's on some sort of campus. The buildings are red brick and there are three lamp posts.,1,1,1,acao
SS1651878928252,US,FD,media/images/free_description/04-squirrel.jpg,Close up of a squirrel on a tree branch. In the background is what looks like a parking lot with globe streetlights and a large building.,7,1,1,acao
SS1651678224995,US,FD,media/images/free_description/04-squirrel.jpg,A cool animal sitting on a branch,1,1,1,acao
SS1651868827795,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel in a tree what looks like a park.,3,1,1,acao
SS1651691207769,US,FD,media/images/free_description/04-squirrel.jpg,"A squirrel sits in a tree close to the camera.  In the back is a courtyard or public space of some kind, and a large institutional building beyond.",6,1,1,acao
SS1651690719363,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel is sitting in a tree. There is a street light behind the tree.,1,1,1,acao
SS1651690681690,US,FD,media/images/free_description/04-squirrel.jpg,There is a squirrel sitting on some tree branches. In the background there's a building and benches. It looks like it was taken in a park,6,1,1,acao
SS1651678386286,US,FD,media/images/free_description/04-squirrel.jpg,The squirrel is on a tree branch. There looks to be maybe some park in back round,2,1,1,acao
SS1651616857792,US,FD,media/images/free_description/04-squirrel.jpg,Squill on a tree limb,2,1,1,acao
SS1651616858633,US,FD,media/images/free_description/04-squirrel.jpg,I saw a up close picture of a squire sitting on a tree branch. Also it looked like it could of been in a park or city.,1,1,1,acao
SS1651616969092,US,FD,media/images/free_description/04-squirrel.jpg,"there is a squirrel in the foreground. Distorted stuff in the background.
",1,0,0,acao
SS1651870014949,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel is resting on a branch. An intersection is visible in the background.,1,1,1,acao
SS1651868828049,US,FD,media/images/free_description/04-squirrel.jpg,"A squirrel on a tree branch, in the front. In the background is a building.",2,1,1,acao
SS1651868799606,US,FD,media/images/free_description/04-squirrel.jpg,A squirell holding onto a branch. It looked like it was in a park.,5,1,1,acao
SS1651678216437,US,FD,media/images/free_description/04-squirrel.jpg,I saw a close up picture of a squirrel on a limb of a tree.  There were green leaves on the tree.,4,1,1,acao
SS1651678250397,US,FD,media/images/free_description/04-squirrel.jpg,There is a squirrel in a tree.  There is a road behind the tree.,3,1,1,acao
SS1651690731537,US,FD,media/images/free_description/04-squirrel.jpg,There is a park with many lampposts. In one of the trees is sitting a squirrel.,7,1,0,acao
SS1651690723933,US,FD,media/images/free_description/04-squirrel.jpg,I see a squirrel. the squirrel is in a tree.,2,1,1,acao
SS1651678232565,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel on a branch. The park is empty.,2,1,1,acao
SS1651616839622,US,FD,media/images/free_description/04-squirrel.jpg,I saw a squirrel on a branch in a tree near some buildings on a street,6,1,1,acao
SS1651616861546,US,FD,media/images/free_description/04-squirrel.jpg,I saw a squirrel in a tree. He was waiting on a nut.,1,1,1,acao
SS1651869808693,US,FD,media/images/free_description/04-squirrel.jpg,There is a squirrel on a tree branch. The squirrel is facing the camera with the branch in focus.,3,1,1,acao
SS1651868744957,US,FD,media/images/free_description/04-squirrel.jpg,"There is a gray squirrel sitting in a tree, next to what looks like a campus. There are green trees around the campus as well as black lightposts.",4,1,1,acao
SS1651868796810,US,FD,media/images/free_description/04-squirrel.jpg,"There was a squirrel on a tree branch on a sunny spring day. It looked like the squirrel was looking right at me. There were buildings and lampposts, kind of what you'd see in a shopping center or office park setting.",4,1,1,acao
SS1651871889261,US,FD,media/images/free_description/04-squirrel.jpg,It is a monkey that is relaxing. They are gray in color,1,1,1,acao
SS1651678327719,US,FD,media/images/free_description/04-squirrel.jpg,The main part of the image was squirrel that was on a tree and grabbing it with his hands. This tree seemed to be in a city close to a brick building.,2,1,1,acao
SS1651690737808,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel in a tree in a park.,4,1,1,acao
SS1651690672320,US,FD,media/images/free_description/04-squirrel.jpg,It's a squirrel resting in a tree. The tree appears to be in a city.,1,1,1,acao
SS1651678262854,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel on a tree branch. It's in a public park during the day. The squirrel is looking right at the camera.,5,1,1,acao
SS1651868839147,US,FD,media/images/free_description/04-squirrel.jpg,There was a squirrel on a tree.,4,1,1,acao
SS1651868754302,US,FD,media/images/free_description/04-squirrel.jpg,"It's a cute squirrel on what appears to be a tiny tree, in a public park.",4,1,1,acao
SS1651616823657,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel resting on top of a tree branch.,3,1,1,acao
SS1651868852345,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing on the edge of a stream.  There was a wooded area behind it.,3,1,1,acao
SS1651868744832,US,FD,media/images/free_description/05-tiger.jpg,A tiger is resting near a creek or stream. The ground behind them is covered in dead leaves.,6,1,1,acao
SS1651690727662,US,FD,media/images/free_description/05-tiger.jpg,A tiger is on a rock. There are woods and some water.,6,1,1,acao
SS1651690737808,US,FD,media/images/free_description/05-tiger.jpg,A tiger at a river standing on a rock.,6,1,1,acao
SS1651678252363,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing on a couple rocks along a body of water. There are lots of leaves on the ground.,7,1,1,acao
SS1651616843053,US,FD,media/images/free_description/05-tiger.jpg,This was a tiger near water. His paws were on huge rocks.,5,1,1,acao
SS1651868901145,US,FD,media/images/free_description/05-tiger.jpg,I saw a tiger standing by a body of water with his two front paws on rocks right by the water.,6,1,1,acao
SS1651690707343,US,FD,media/images/free_description/05-tiger.jpg,A tiger looking into water.,7,1,1,acao
SS1651868761529,US,FD,media/images/free_description/05-tiger.jpg,The picture is of a tiger.  He is standing on a rock at the edge of the stream.  He  probably wants a drink.,2,1,1,acao
SS1651868707186,US,FD,media/images/free_description/05-tiger.jpg,There is a tiger standing on a rock near a river or stream in daylight. The tiger is looking to its right.,3,1,1,acao
SS1651868796147,US,FD,media/images/free_description/05-tiger.jpg,"There was a tiger. He was standing next to some water, and in a forest.",1,1,1,acao
SS1651869119140,US,FD,media/images/free_description/05-tiger.jpg,I was a tiger standing on some rocks. It was near the water and leaves were all around the background.,2,1,1,acao
SS1651869017878,US,FD,media/images/free_description/05-tiger.jpg,"I saw a tiger standing on a rock next to a body of water. It looked like a wooded area, from what I could make out.",5,1,1,acao
SS1651869014963,US,FD,media/images/free_description/05-tiger.jpg,A tiger is gazing into some water. It seems to be fall from the color of the leaves.,7,1,1,acao
SS1651690762770,US,FD,media/images/free_description/05-tiger.jpg,A tiger is balanced on a rock in a stream. Trees and leaves cover the ground behind him. The tiger is looking over his shoulder at something in the distance.,2,1,1,acao
SS1651868751261,US,FD,media/images/free_description/05-tiger.jpg,There was a tiger near a body of water of some sort. There were also a couple large rocks nearby.,5,1,1,acao
SS1651868713554,US,FD,media/images/free_description/05-tiger.jpg,"A tiger stands on two rocks in a wooded area in front of flowing water. He is looking at something to the right in the picture, and his mouth is slightly open.",2,1,1,acao
SS1651690758188,US,FD,media/images/free_description/05-tiger.jpg,That was leopard with its mouth open. It was standing beside a stream.,7,1,1,acao
SS1651678331156,US,FD,media/images/free_description/05-tiger.jpg,A tiger stands on top of a rock as he surveys the area. He is likely looking to catch a fish in the water below.,5,1,1,acao
SS1651617013503,US,FD,media/images/free_description/05-tiger.jpg,a  tiger standing on a rock next to a body of water. in the woods.,1,1,1,acao
SS1651868830966,US,FD,media/images/free_description/05-tiger.jpg,a beautiful tiger going to get some water. it appears to be fall.,3,1,1,acao
SS1651678298946,US,FD,media/images/free_description/05-tiger.jpg,There is a tiger standing by a stream.  It appears to be a wooded area.,4,1,1,acao
SS1651868800189,US,FD,media/images/free_description/05-tiger.jpg,A tiger stood on some rocks on a riverbank. It looked very wooded behind it.,3,1,1,acao
SS1651871550730,US,FD,media/images/free_description/05-tiger.jpg,"There is a large tiger with its front paws on a rock on the bank of a river. It's back legs are on the ground, which appears to be covered in leaves, brown deciduous ones. Likely taken in a zoo as the floura does not match the fauna.",4,1,1,acao
SS1651690810190,US,FD,media/images/free_description/05-tiger.jpg,I saw a tiger. It was on rocks next to some water.,7,1,1,acao
SS1651868817171,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing on a rock on a riverbank looking at the water.,3,1,1,acao
SS1651616821119,US,FD,media/images/free_description/05-tiger.jpg,This is a green train pulling out of a train station.,5,0,0,acao
SS1651690714289,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing by the river.,6,1,1,acao
SS1651868812123,US,FD,media/images/free_description/05-tiger.jpg,tiger at the edge of a creek standing on a rock. Leave cover the ground behind the tiger,4,1,1,acao
SS1651678248989,US,FD,media/images/free_description/05-tiger.jpg,It looks like the tiger has made its way down an embankment. The tiger is standing on a rock that is in the creek.,1,1,1,acao
SS1651871889261,US,FD,media/images/free_description/05-tiger.jpg,A tiger out in the jungle,4,1,1,acao
SS1651868736601,US,FD,media/images/free_description/06-train-red.jpg,A black and red retro train is parked at a nice station.  It's very quiet.,3,1,1,acao
SS1651678459452,US,FD,media/images/free_description/06-train-red.jpg,"The image was of a vintage, old timey looking red train. It was parked in front of a station.",5,1,0,acao
SS1651868788402,US,FD,media/images/free_description/06-train-red.jpg,There is a black and red steam engine in front of a building. It looks like it could be a museum.,4,1,1,acao
SS1651872480719,US,FD,media/images/free_description/06-train-red.jpg,It's a picture of a steam engine. There is a train depot or other structure behind it.,4,1,1,acao
SS1651690626669,US,FD,media/images/free_description/06-train-red.jpg,I saw a shiny red and black steam engine attached to a red coal car. They are not on real train tracks.,4,1,1,acao
SS1651868868975,US,FD,media/images/free_description/06-train-red.jpg,It is a black and red train. It is parked outside of a train station.,5,1,1,acao
SS1651690802568,US,FD,media/images/free_description/06-train-red.jpg,It is a red steam train. It is parked at a rail yard.,1,1,1,acao
SS1651690858692,US,FD,media/images/free_description/06-train-red.jpg,There was an old fashioned train on tracks in a trainyard just outside of the building where trains are stored. The train was black and accented with red.,4,1,1,acao
SS1651616850845,US,FD,media/images/free_description/06-train-red.jpg,Fire train model park front of the fire station.,7,1,1,acao
SS1651869512955,US,FD,media/images/free_description/06-train-red.jpg,It was a train with a exhaust at the top and a cow catcher in the front. The train was red and black in color.,4,1,1,acao
SS1651678263725,US,FD,media/images/free_description/06-train-red.jpg,a train in front of an old timey train station. Looks unused. Like a museum or art piece.,5,1,1,acao
SS1651868720723,US,FD,media/images/free_description/06-train-red.jpg,There is a locomotive in front of a brick building. It was a sunny day with blue skies.,2,1,1,acao
SS1651690691327,US,FD,media/images/free_description/06-train-red.jpg,An old fashioned train.  It was red and black.,7,1,1,acao
SS1651681877580,US,FD,media/images/free_description/06-train-red.jpg,There was a black and red locomotive sitting on the tracks. There was a brown building behind it.,5,1,1,acao
SS1651869128913,US,FD,media/images/free_description/06-train-red.jpg,There's a jet flying over a body of water. There's a building in the background.,7,0,0,acao
SS1651868779378,US,FD,media/images/free_description/06-train-red.jpg,I saw a black and red old locomotive in an old fashion train yard and there looked to be a coal car attached behind it.,6,1,1,acao
SS1651616909217,US,FD,media/images/free_description/06-train-red.jpg,A red and black train is in front of a building.,4,1,1,acao
SS1651869119140,US,FD,media/images/free_description/06-train-red.jpg,I saw a red and black train. The ground was cement and there were brick structures behind it.,5,1,1,acao
SS1651616821119,US,FD,media/images/free_description/06-train-red.jpg,A train,3,1,1,acao
SS1651690678388,US,FD,media/images/free_description/06-train-red.jpg,"I saw a red and black Train. It was old fashioned style, about late 1800s.  I saw it coming out of a Brown train station.  The train station was 2 stories and had windows.",1,1,1,acao
SS1651678268119,US,FD,media/images/free_description/06-train-red.jpg,A 19th-century style train on the backlot of a movie set. No crowds in attendance.,2,1,1,acao
SS1651868836129,US,FD,media/images/free_description/06-train-red.jpg,a train on tracks in front of a building.,6,1,1,acao
SS1651868717843,US,FD,media/images/free_description/06-train-red.jpg,A red and black train that seems to be departing. There are a few buildings in the background.,5,1,1,acao
SS1651690681690,US,FD,media/images/free_description/06-train-red.jpg,Big old timey looking black and red train. Small little station in the background,3,1,1,acao
SS1651868810933,US,FD,media/images/free_description/06-train-red.jpg,"An old timey train engine in front of a big brown building. The building has large, wooden doors like a manufacturing buidling.",3,1,1,acao
SS1651678262590,US,FD,media/images/free_description/06-train-red.jpg,This is an old-fashioned train that probably runs on steam. It is parked outside of a brick warehouse. The bricks are red.,4,1,1,acao
SS1651868784777,US,FD,media/images/free_description/06-train-red.jpg,An older style train is parked in front of a building. The train is red and black.,5,1,1,acao
SS1651868761529,US,FD,media/images/free_description/06-train-red.jpg,the picture is of a train engine and coal car. they are black and red.,1,1,1,acao
SS1651868710355,US,FD,media/images/free_description/06-train-red.jpg,There was an old steam engine outside a train station.  It was black and red.,6,1,1,acao
SS1651690735532,US,FD,media/images/free_description/07-train-green.jpg,It was a picture of a green train. There was a white wall behind it and a tall building in the distance.,4,1,1,acao
SS1651870376242,US,FD,media/images/free_description/07-train-green.jpg,"It is a picture of a green train with yellow stripes. It looks like it is in a city, because you can see an apartment building behind it",2,1,1,acao
SS1651868924360,US,FD,media/images/free_description/07-train-green.jpg,I saw a green train at a train station. In the background there appeared to be an apartment building.,4,1,1,acao
SS1651868817171,US,FD,media/images/free_description/07-train-green.jpg,A green train parked at the train station.,7,1,1,acao
SS1651624230659,US,FD,media/images/free_description/07-train-green.jpg,i would say i saw a train. it was on railroad tracks,1,1,1,acao
SS1651616838947,US,FD,media/images/free_description/07-train-green.jpg,A green train is paused on the tracks. It has just come from a tunnel. There is a building in the background.,3,1,1,acao
SS1651868830966,US,FD,media/images/free_description/07-train-green.jpg,a green big train on a sunny day,2,1,1,acao
SS1651690729593,US,FD,media/images/free_description/07-train-green.jpg,A green train with yellow stripes is on a track. The background looks to be an industrial part of a city.,5,1,1,acao
SS1651869024622,US,FD,media/images/free_description/07-train-green.jpg,There was a green locomotive on some tracks.,6,1,1,acao
SS1651616839120,US,FD,media/images/free_description/07-train-green.jpg,"There is a train. It is yellow and green.
",6,0,0,acao
SS1651868840790,US,FD,media/images/free_description/07-train-green.jpg,A green train is moving out from under a concrete bridge. There is a tall faded white building behind the scene.,5,1,1,acao
SS1651617033971,US,FD,media/images/free_description/07-train-green.jpg,a green railway,3,1,1,acao
SS1651678328286,US,FD,media/images/free_description/07-train-green.jpg,"This is a picture of a typical locomotive train. The train was colored green, and had some yellow stripes going along the side of it. The train seems to be in maybe a railyard or in a city, as you can see buildings in the background behind it.",2,1,1,acao
SS1651616843053,US,FD,media/images/free_description/07-train-green.jpg,This was a locomotive. It's number was 2119. It was green with yellow stripes.,4,1,1,acao
SS1651869128913,US,FD,media/images/free_description/07-train-green.jpg,It's a forest green train. It's currently stopped at a station.,1,1,1,acao
SS1651679448134,US,FD,media/images/free_description/07-train-green.jpg,"A locomotive sits on some tracks. It appears parked in a depot, with a majority of the train under a canopy.",4,1,1,acao
SS1651678250397,US,FD,media/images/free_description/07-train-green.jpg,A train is on the train tracks.  There is a building behind the train.,5,1,1,acao
SS1651678260331,US,FD,media/images/free_description/07-train-green.jpg,This is a picture of a green and yellow semi-modern diesel locomotive attached to several cars in an urban railyard. The scene in the background looks like an urban setting.,6,1,1,acao
