subject,culture,task_name,stimulus,trial_raw,trial_num,codeable,first_mention_focal,bckgrd_description,focal_description,coder
SS1651616823657,US,FD,media/images/free_description/03-plane.jpg,A jet airplane flying really low but above the water. Behind the airplane looks like a strange building.,5,1,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/01-boat-river.jpg,"A boat parked in a river.
",6,1,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/02-bike.jpg,A red bicycle chained near a pole.,7,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/06-train-red.jpg,A train displays at the station. It's a late 19 century train.,1,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/02-bike.jpg,A bicycle chain beside the pole in front the building. It can prevent someone steal the bicycle.,2,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/07-train-green.jpg,A train park at the train station.,3,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/03-plane.jpg,An aircraft flies over the river in front of the building.,4,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/05-tiger.jpg,A tiger is looking the food. A tiger feels thirty.,5,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel stays on the branch of the tree.,6,1,1,0,0,AT
SS1651616824013,US,FD,media/images/free_description/01-boat-river.jpg,A wooden boat park in the little river.,7,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/04-squirrel.jpg,There were two squirrels in a tree.  They looked like LGBTQ.,1,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/05-tiger.jpg,A tiger by the water looks cis-gender/tranny.  We must save the planet for the tiger.,2,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/03-plane.jpg,The plane over water was grey.,3,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/07-train-green.jpg,I saw a train.,4,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/06-train-red.jpg,I saw a train. It was red and black.,5,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/01-boat-river.jpg,I saw a boat.,6,1,1,0,0,AT
SS1651616827589,US,FD,media/images/free_description/02-bike.jpg,I saw a bike high up like LGBTQ.,7,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/04-squirrel.jpg,"there is a squirrel in a tree, he is very close to the camera.

The picture looks like it was taken in a park",1,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/06-train-red.jpg,"there is a train in the middel of the picture, it looks like an old one.

It is red and black with gold trim.",2,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/03-plane.jpg,"it is a fighter jet flying low over a river.

There is a very fancy building in the background, it apeears to be an asian country",3,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/07-train-green.jpg,"it is a train on some train tracks, it appears to be a modern train that is currentlly functioning.

it is green in color with yellow trim.",4,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/05-tiger.jpg,"it is a tiger standing at the edge of a stream in a forest.

he is looking to the side like he is watching for something",5,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/02-bike.jpg,"it is a red bike in front of some grass and what appears to be a nice building.

the bike is leaning against a chain barrior",6,1,1,0,0,AT
SS1651616829561,US,FD,media/images/free_description/01-boat-river.jpg,"it is a junky old boat on a river of fithly water.

there are some old run down houses in the background",7,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/04-squirrel.jpg,A grey squirrel is sitting in a tree. In the background you can se a park with a path and lights.,1,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/07-train-green.jpg,A green train with yellow stripes is sitting on a railroad track.It appears to be stopped.You can see some skyscrapers in the background,2,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/03-plane.jpg,A military jet flying low over a body of water.There is also a building in the background.,3,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/05-tiger.jpg,A tiger is standing on a boulder at the edge of a lake. The tiger is looking to the side and has its mouth open like it is panting,4,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/01-boat-river.jpg,A river cuts through a small village. there is a small boat docked along the side of the river by a path leading up the bank,5,1,0,0,0,AT
SS1651616834023,US,FD,media/images/free_description/02-bike.jpg,A red bicycle is chained to a post in a public area. ,6,1,1,0,0,AT
SS1651616834023,US,FD,media/images/free_description/06-train-red.jpg,A train engine parked in front of a building. The engine is black and red.,7,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/06-train-red.jpg,It looked like a very old red and black train on the train tracks. I think the number on it was 60.,1,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/04-squirrel.jpg,There was a cute squirrel on a tree branch. I really only noticed the squirrel.,2,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/03-plane.jpg,A plane that was flying right above the water. There were trees in the background.,3,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/05-tiger.jpg,"A tiger on a rock, beside the water.
",4,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/02-bike.jpg,"There was a red bicycle near a fence. I believe it was parked near someones lawn.
",5,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/07-train-green.jpg,"A green train
",6,1,1,0,0,AT
SS1651616835091,US,FD,media/images/free_description/01-boat-river.jpg,"I saw a boat on the water near some houses
",7,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/01-boat-river.jpg,A boat in a river near some houses. It seemed like it was some sort of canal.,1,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/02-bike.jpg,A red bicycle in front of a building. There is a chain near the bike.,2,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel sitting on a branch of a tree.,3,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/07-train-green.jpg,A green train leaving the train station.,4,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing on a rock. The rock is by a body of water.,5,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/03-plane.jpg,An airplane flying in the sky. There is a building right under it.,6,1,1,0,0,AT
SS1651616837719,US,FD,media/images/free_description/06-train-red.jpg,An old red and black train leaving the train station.,7,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/05-tiger.jpg,This is an image of an adult tiger. It is standing on a rock overlooking the river with a forest behind. The tiger is looking off to the side.,1,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat on a river. The river flows alongside a village.,2,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/07-train-green.jpg,A green train is paused on the tracks. It has just come from a tunnel. There is a building in the background.,3,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/06-train-red.jpg,An old train engine sits at a station. It is red and black.,4,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/04-squirrel.jpg,A gray squirrel is perched on a tree with green leaves. The tree is in a park.,5,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/03-plane.jpg,A plane flies over a placid lake. There is forestry and a building in the background.,6,1,1,0,0,AT
SS1651616838947,US,FD,media/images/free_description/02-bike.jpg,A red bike is chained to a black fence post.,7,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/07-train-green.jpg,its a green train with yellow paint.  it says 2216 on the side several times.,1,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/05-tiger.jpg,a tiger standing on a rock by a stream.  it is a full grown tiger.,2,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/04-squirrel.jpg,a squirrell on a branch by a road.  it is daytime.,3,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/02-bike.jpg,red bicycle next to a fence.  there is grass in the field.,4,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/03-plane.jpg,a jet flying over a lake.  there is a large building in the background.,5,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/06-train-red.jpg,a red and black train.  it looks like its just for decoration.,6,1,1,0,0,AT
SS1651616839031,US,FD,media/images/free_description/01-boat-river.jpg,a rowboat in a small river.  there is a house nearby.,7,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/03-plane.jpg,"There is a jet that is flying over the water. There is a castle in the background.
",1,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/05-tiger.jpg,There is a large tiger. It is on some grass.,2,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/04-squirrel.jpg,"There is a squirrel on a branch. You can see the tree the branch is attached to.
",3,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/06-train-red.jpg,There is a big train. It is in front of a big building.,4,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/02-bike.jpg,There is a bike. It is locked to a pole. ,5,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/07-train-green.jpg,"There is a train. It is yellow and green.
",6,1,1,0,0,AT
SS1651616839120,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat in the water. There are a couple of houses on the side of the water. ,7,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/01-boat-river.jpg,a boat in a little creek. the creek was dirty and behind a building.,1,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel in a tree with some buildings in the background,2,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/03-plane.jpg,Big plane flying over some water. A big building in the back.,3,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/02-bike.jpg,A chained up bike next to a pretty green lawn.,4,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/07-train-green.jpg,A green train on tracks. Buildings in background.,5,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/06-train-red.jpg,Old school train in front of big building.,6,1,1,0,0,AT
SS1651616839551,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing on some rocks by a creek.,7,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/05-tiger.jpg,"I saw a tiger.  He or she was near the water.  He or she was looking to one side
",1,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/02-bike.jpg,I saw a bicycle.  I t appeared to be chained to a fence,2,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/07-train-green.jpg,I saw a green and yellow train at a station,3,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/06-train-red.jpg,I saw a brown and red train in front of a building,4,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/01-boat-river.jpg,I saw a rowboat.  It was at the shore along a a waterway near some buildings,5,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/04-squirrel.jpg,I saw a squirrel on a branch in a tree near some buildings on a street,6,1,1,0,0,AT
SS1651616839622,US,FD,media/images/free_description/03-plane.jpg,I saw a military jet appearing to land,7,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/02-bike.jpg,"A red bicycle is chained to a lamp post. It sits in front of a bright, well-manicured lawn in town.",1,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/01-boat-river.jpg,A boat is docked on shore in a residential neighborhood in a canal. It appears to be on the edge of someone's yard.,2,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/04-squirrel.jpg,A gray squirrel is sitting on a tree branch in a quiet town. It appears undisturbed.,3,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/07-train-green.jpg,A green and yellow train is pulling out of a station. It appears to be in an industrial district.,4,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/05-tiger.jpg,"A tiger stands on rocks along the edge of a river. It seems alert and aware of its surroundings, possibly listening to something nearby.",5,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/06-train-red.jpg,"A red and black retro train is sitting in front of a station. It's well taken care of, and the area around it is quiet.",6,1,1,0,0,AT
SS1651616840889,US,FD,media/images/free_description/03-plane.jpg,A military aircraft flies low over a body of water. There appears to be a government or religious building in the distance.,7,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/02-bike.jpg,"A red bicycle chained to a pole in front of a large, old looking stone building.  There was a bright green grassy expanse of lawn in front of the building.  There was a garbage bin in front of it as well.",1,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/01-boat-river.jpg,A skiff-style row boat moored (or beached) on one side of a narrow canal.  Alongside the canal were a couple of homes.,2,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/03-plane.jpg,A very low flying fighter jet above a body of water surrounded by bushes.  In the background was a white building that looked like it might be a government building in our Capital.,3,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/07-train-green.jpg,"A green train with yellow striped at rest in a depot.  Large, somewhat futuristic looking buildings were in the background, indicating it was in a city somewhere.",4,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/05-tiger.jpg,"A large tiger on the bank of a pond or small body of water.  He was resting his paws on one of two large boulders.  The fallen leaves on the ground were dried up, indicating that winter might be approaching or recently ended.",5,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/04-squirrel.jpg,"A squirrel on a tree branch.  Many large municipal buildings could be seen in the background, indicating it was likely a park.",6,1,1,0,0,AT
SS1651616841722,US,FD,media/images/free_description/06-train-red.jpg,"An old fashioned steam train consisting of a black engine and one car with red highlights, including a large, jutting ""cow catcher.""  It was at rest outside of a depot, and it's immaculate condition indicated it was probably a museum piece.",7,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/07-train-green.jpg,I saw a long train and some railroad tracks. There were some numbers on the train and I believe there's were also at least a few buildings in the background.,1,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/05-tiger.jpg,There is a tiger standing near a creek in the woods. His foot in on top of a rock and he is looking towards the creek.,2,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/01-boat-river.jpg,"There is a long river canal, with a few boats spread through out the river. There are also a few houses that can be seen as well.",3,1,0,0,0,AT
SS1651616841972,US,FD,media/images/free_description/04-squirrel.jpg,There is a squirrel in a tree. There are street lights in the background and it appears that the location is a park but I can't tell for certain.,4,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/03-plane.jpg,There is an airplane flying over a bed of water. There is a lot of greenery in the background as well as a pointy white building in the back.,5,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/06-train-red.jpg,"There is a red / black train parked outside the station, I believe it's the train station.",6,1,1,0,0,AT
SS1651616841972,US,FD,media/images/free_description/02-bike.jpg,"There is a red bike parked in the street in front of a building of some building, and there are also a few bikes layed up against the building in the back ground",7,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/06-train-red.jpg,This was an old time train engine. Its number was 60. It was red and black.,1,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/04-squirrel.jpg,This was a squirrel on a branch. Looked like a park with three street lamps in the distance. ,2,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/02-bike.jpg,This was a red bike. It was chained to a metal pole.,3,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/07-train-green.jpg,This was a locomotive. It's number was 2119. It was green with yellow stripes.,4,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/05-tiger.jpg,This was a tiger near water. His paws were on huge rocks.,5,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/01-boat-river.jpg,The was a flat boat. There was a large building nearlby.,6,1,1,0,0,AT
SS1651616843053,US,FD,media/images/free_description/03-plane.jpg,There was a plane flying low. It was over water.,7,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/05-tiger.jpg,I seen a tiger.  It was standing by the water.,1,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/01-boat-river.jpg,There was a boat in a canal.  The canal is by a nieghborhood.,2,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/03-plane.jpg,I seen a jet.  It was flying over the water.,3,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/07-train-green.jpg,I seen a green train.  It was in a city.,4,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/02-bike.jpg,I missed the picture. I did not see it.,5,0,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/06-train-red.jpg,I see a large train engine.  It was red and black.,6,1,1,0,0,AT
SS1651616844450,US,FD,media/images/free_description/04-squirrel.jpg,I seen a squirrel.  The squirrel is sitting in a tree.,7,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/02-bike.jpg,Bike on a chain near a grassy field with a blue I think phone booth thing in the back,1,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/05-tiger.jpg,forest tiger standing on a rock near stream,2,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/06-train-red.jpg,Red and black train,3,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/01-boat-river.jpg,Boat in a stream behind buildings,4,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/07-train-green.jpg,This was a train in a train station. The train was green.,5,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/04-squirrel.jpg,A fatass squirrel,6,1,1,0,0,AT
SS1651616844684,US,FD,media/images/free_description/03-plane.jpg,Some type of bomber looking jet over a capitol building,7,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/05-tiger.jpg,There was a tiger in the woods. He was standing near some water and looking at a rock. His head was turned and his mouth was open,1,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/02-bike.jpg,There is a red bicycle chained to a post. It appears to be in front of the lawn of a big building.,2,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/07-train-green.jpg,There is a green train with yellow stripes on train tracks. There are some buildings visible in the back,3,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat in a canal. It is empty. There's a house up on the left.,4,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/06-train-red.jpg,There is an old black and red train. It is in front of a brown building.,5,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/03-plane.jpg,There is a large white plane flying over some water. There are some trees and a building in the back,6,1,1,0,0,AT
SS1651616844911,US,FD,media/images/free_description/04-squirrel.jpg,There is a close up squirrel on a branch. I think there is a park in the background.,7,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/03-plane.jpg,A jet flying over a river near the catiol building. It is armed.,1,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/06-train-red.jpg,A red and black train. It seem old.,2,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/05-tiger.jpg,A tiger near the river. It seems to be fishing.,3,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/02-bike.jpg,A red bike chained to the fence. Maybe someone works at the building behind it.,4,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/07-train-green.jpg,A green train. It looks to be from soviet russia.,5,1,1,0,0,AT
SS1651616846951,US,FD,media/images/free_description/01-boat-river.jpg,"A beautiful scenery. Looks to be in Europe,.",6,1,0,0,0,AT
SS1651616846951,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel close up to the camera.,7,1,1,0,0,AT
SS1651616850845,US,FD,media/images/free_description/01-boat-river.jpg,There is a river that runs thru the city where people lives. In the river there was a boat with nobody on it.,1,1,0,0,0,AT
SS1651616850845,US,FD,media/images/free_description/04-squirrel.jpg,"Early morning inside of the park, a squarrer was caught on a picture sitting on a tree.",2,1,0,0,0,AT
SS1651616850845,US,FD,media/images/free_description/07-train-green.jpg,A old train in trhe city.,3,1,1,0,0,AT
SS1651616850845,US,FD,media/images/free_description/02-bike.jpg,Bicycles were chained up all the school.,4,1,1,0,0,AT
SS1651616850845,US,FD,media/images/free_description/05-tiger.jpg,Tiger came up the lake to have a drink of water.,5,1,1,0,0,AT
SS1651616850845,US,FD,media/images/free_description/03-plane.jpg,Jet fighter flying over the whit house.,6,1,1,0,0,AT
SS1651616850845,US,FD,media/images/free_description/06-train-red.jpg,Fire train model park front of the fire station.,7,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/06-train-red.jpg,It was a classic train in a train station. It was red and there were traintracks around it.,1,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/03-plane.jpg,A plane was hovering a lake and it was very green. It looked gloomy and there was a white building in the background.,2,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/04-squirrel.jpg,There was a squirrel on a tree. It looked well-fed and there was much greenery in the background as well as some streetlights.,3,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/02-bike.jpg,There was a red bike chained to a metal pole on a fence. There was a green lawn in the back of the picture.,4,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/07-train-green.jpg,"Green train on railroad tracks, with some buildings in the distance. Looked very dirty and had some yellow on it too.",5,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/05-tiger.jpg,"Tiger in a jungle setting, stepping foot on some stone near the water. It appeared to be looking for something in the water.",6,1,1,0,0,AT
SS1651616854167,US,FD,media/images/free_description/01-boat-river.jpg,a small boat was parked on a hill near a home. It looked very dirty (both river and boat),7,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/03-plane.jpg,An old jet fighter is flying across a body of water. An ancient temple is in the background.,1,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/06-train-red.jpg,An old train engine is sitting outside a train station.,2,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel is sitting on a tree branch in front of a large building.,3,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/07-train-green.jpg,A green passenger train waits at a train station in a urban area.,4,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/05-tiger.jpg,A tiger stand on some rocks near a body of water. He looks like he’s watching for fish.,5,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/02-bike.jpg,A bicycle is parked near a sidewalk. Several other bikes are chained up near a building in the background.,6,1,1,0,0,AT
SS1651616854402,US,FD,media/images/free_description/01-boat-river.jpg,A fish boat is tied up next to a walkway. It’s floating in a small narrow river.,7,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/06-train-red.jpg,A picture of a train that is made back in the past at a chain station ,1,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/04-squirrel.jpg,Squill on a tree limb,2,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/01-boat-river.jpg,a boat at a river side ,3,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/05-tiger.jpg,A tiger standing by the river ,4,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/02-bike.jpg,A bicycle trained to a post ,5,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/03-plane.jpg,An airplane flying over a lake ,6,1,1,0,0,AT
SS1651616857792,US,FD,media/images/free_description/07-train-green.jpg,A train at a train station ,7,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/02-bike.jpg,A bike locked up to a pole.  It is in front of a field,1,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/06-train-red.jpg,A red train.  It is pulling out of the station,2,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/05-tiger.jpg,A red train.  It is pulling out of the station,3,0,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/03-plane.jpg,A plane.  It isover a body of water,4,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel.  It is sitting in a tree.,5,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/07-train-green.jpg,A green train.  It is pulling out of the station,6,1,1,0,0,AT
SS1651616858489,US,FD,media/images/free_description/01-boat-river.jpg,"A boat.  It is in a river,",7,1,1,0,0,AT
SS1651616858633,US,FD,media/images/free_description/04-squirrel.jpg,I saw a up close picture of a squire sitting on a tree branch. Also it looked like it could of been in a park or city.,1,1,1,0,0,AT
SS1651616858633,US,FD,media/images/free_description/02-bike.jpg,A red bike chained to a fence post. Their was a grey house in the background.,2,1,1,0,0,AT
SS1651616858633,US,FD,media/images/free_description/07-train-green.jpg,A green train with yellow stipes. Also it looked like it was at the station.,3,1,1,0,0,AT
