subject,task_name,stimulus,trial_raw,trial_num,codeable,first_mention_focal,imada_bckgrd_description,imada_focal_description,full_bckgrd_description,full_focal_description,coder
SS1609062423335,FD,images/free_description/01-boat-river.jpg,这张图整体色调偏红，中景呈现了夏日的乡村场景，一只小船泊在并不宽阔的河道上，旁边是白色的低矮平房，树木繁茂。,3,1,0,4,1,10,3,
SS1609064318009,FD,images/free_description/01-boat-river.jpg,我看到了一幅水边的图片，水面近处有一条船，岸边有房屋，远处还有一条船。水面很平静，看画面应该是下午。画面中还有一个电线杆，看样子是一个有人生活的村庄。,1,1,0,2,0,12,1,
SS1609065406081,FD,images/free_description/01-boat-river.jpg,一只小船停靠在小河旁边，河畔还有房屋,6,1,1,1,1,6,3,
SS1609073869026,FD,images/free_description/01-boat-river.jpg,右边是一条平静的河流流向远方，左边是有些高的河岸，岸上有一些民居。从民居到河边的坡下有一只小船停在河边。,2,1,0,2,1,13,3,
SS1609075750358,FD,images/free_description/01-boat-river.jpg,画面右侧是一条小河，中间停靠着一艘小船，画面左侧有一间房屋。,3,1,0,1,1,5,4,
SS1609079699037,FD,images/free_description/01-boat-river.jpg,图片里有房子，船，树和小河。,2,1,0,1,0,4,1,
SS1609086776753,FD,images/free_description/01-boat-river.jpg,图片上是一个窄窄的运河里停了一艘木板做的小船。运河两岸是人家。有一条石头铺成的小路通到船上。,2,1,0,2,2,8,5,
SS1609105368955,FD,images/free_description/01-boat-river.jpg,有一条河，河上有条船。一条电线跨过河流的上方。河绵延得很远。河岸上有几栋房子。,1,1,0,2,0,12,1,
SS1609116587428,FD,images/free_description/01-boat-river.jpg,一个老村落，有一条河，河岸边放着一艘破旧的小船。,5,1,0,1,2,4,4,
SS1609121014512,FD,images/free_description/01-boat-river.jpg,小河边停着一艘小船，河岸是矮平房,7,1,0,2,1,5,3,
SS1609121221630,FD,images/free_description/01-boat-river.jpg,"小船停在水边。
水的一边是白色的小房子，另一边是树林。",7,1,1,2,1,9,3,
SS1609121912186,FD,images/free_description/01-boat-river.jpg,一辆小船停泊在河边，图上空无一人。,6,1,1,1,1,2,3,
SS1609125348720,FD,images/free_description/01-boat-river.jpg,有一艘船在河上，上面有很多电线，河边有很多平房,2,1,1,2,0,8,1,
SS1609132098611,FD,images/free_description/01-boat-river.jpg,"一只船停在小镇的河边。
船上没有人。",7,1,1,0,0,2,2,
SS1609139734485,FD,images/free_description/01-boat-river.jpg,一条小河边停靠着一艘小船，似乎船的主人刚刚离开不久,6,1,0,1,1,2,4,
SS1609141291161,FD,images/free_description/01-boat-river.jpg,有一艘破旧的小船停在溪边。溪边有一些青草和破旧的屋子。溪水不是很清澈。,1,1,1,3,2,10,4,
SS1609143031482,FD,images/free_description/01-boat-river.jpg,一条船泊在小溪中，小溪左边是一些居民住的平房,5,1,1,3,0,7,2,
SS1609144676893,FD,images/free_description/01-boat-river.jpg,图片里是一条不很宽的小河，水很清澈。河边有一只停着的小船，河两岸有很多树木。,1,1,0,4,2,11,3,
SS1609146491935,FD,images/free_description/01-boat-river.jpg,我看到一艘小木船在一条河里，河岸上有一排小房子，河边还有很多绿油油的小草。,1,1,1,3,2,9,3,
SS1609156148777,FD,images/free_description/01-boat-river.jpg,这是一个沿河的小镇，一艘小船停靠在岸边，岸边有一个略显破旧的小屋。,4,1,0,2,1,8,3,
SS1609163312228,FD,images/free_description/01-boat-river.jpg,河流的旁边是一栋栋砖房，河岸停着简陋的木船。,2,1,0,1,2,7,3,
SS1609166832692,FD,images/free_description/01-boat-river.jpg,一条比较脏的河边有村庄，河边上有一辆破船。,5,1,0,1,1,5,2,
SS1609206019548,FD,images/free_description/01-boat-river.jpg,画面正中央一个木船停泊在小盒左边，河的左岸是几个红砖民房，右岸是一些植物。,6,1,1,1,1,9,5,
SS1609208930844,FD,images/free_description/01-boat-river.jpg,乡村的河边有一条小船停靠在岸边，但是周边都比较的干燥，说明这里不是江南水乡。河畔有一排的平房式建筑。,6,1,0,3,1,10,3,
SS1609213276315,FD,images/free_description/01-boat-river.jpg,这里可能是一个乡村，河边排列着房子。河里有船。,5,1,0,0,0,6,1,
SS1609214157015,FD,images/free_description/01-boat-river.jpg,一艘破旧的小船，靠着河岸，河流不宽。,6,1,1,1,2,3,4,
SS1609222543224,FD,images/free_description/01-boat-river.jpg,一条河，河里有一条船,5,1,0,0,0,2,1,
SS1609223067371,FD,images/free_description/01-boat-river.jpg,河边有一座小房子，河上正停着一叶扁舟。远处尽是一片绿色。,6,1,0,2,0,6,2,
SS1609225913111,FD,images/free_description/01-boat-river.jpg,这张图片上一个乡村场景。图片中一条河将草地分成两部分，在河的左岸停泊着一艘小船。,2,1,0,0,1,5,3,
SS1609229037242,FD,images/free_description/01-boat-river.jpg,在江南水乡，一只小船停在水面上。,7,1,0,0,1,1,2,
SS1609229287946,FD,images/free_description/01-boat-river.jpg,一架小木船停在河边，河边是一些房屋和人家。,2,1,1,0,2,7,4,
SS1609233742402,FD,images/free_description/01-boat-river.jpg,在紫色的夕阳下，一个破旧的小船静谧地停靠在河边，特别美丽。,1,1,0,1,2,4,5,
SS1609234368670,FD,images/free_description/01-boat-river.jpg,这条河流经一座村庄，一边是古朴的房屋，一边是翠绿的稻田，一条船拴在岸边。,2,1,0,2,0,8,3,
SS1609236181354,FD,images/free_description/01-boat-river.jpg,在河边停泊着一艘船，船有些破旧，像很久没有使用过的样子,2,1,0,0,2,2,5,
SS1609238981425,FD,images/free_description/01-boat-river.jpg,水泮是一片红顶白墙瓦房，房间是绿树绿草，间或有倾斜的电线杆和杂乱的电线，似乎是傍晚时分。水边斜系一只小船，船上堆着黄色塑料布。水面并不平滑，似乎有水生植物顶破水面。,6,1,0,8,3,24,8,
SS1609241808889,FD,images/free_description/01-boat-river.jpg,小河里有小船，小河边有房屋与草地。,7,1,0,1,1,8,2,
SS1609242245499,FD,images/free_description/01-boat-river.jpg,美丽宜人的村庄，小溪边上还停留着船舶。,7,1,0,2,0,4,2,
SS1608910542319,FD,images/free_description/02-bike.jpg,我看到一块草地旁边停着一辆红色的自行车。,1,1,0,0,1,2,3,
SS1608915923505,FD,images/free_description/02-bike.jpg,在绿地的前面停放了一辆红色的自行车，用蓝色的长锁拴在了灯柱上。绿地后面一一排整齐摆放的自行车。,6,1,0,5,1,12,4,
SS1608919052817,FD,images/free_description/02-bike.jpg,在一片草地旁边，有一辆自行车，锁在路边的柱子上。,2,1,0,0,0,5,2,
SS1608922359968,FD,images/free_description/02-bike.jpg,一辆红色自行车停在路边,5,1,1,0,1,2,3,
SS1608939499047,FD,images/free_description/02-bike.jpg,图中有一座大房子，房子前面有一条铁链子，前面停靠了一辆红色的自行车，车被上锁了。,3,1,0,2,1,7,5,
SS1608943874386,FD,images/free_description/02-bike.jpg,这张图片里有一片绿色的草地。草地旁边黑色栅栏旁，倚靠着一辆红色自行车,1,1,0,2,1,7,3,
SS1608945641685,FD,images/free_description/02-bike.jpg,"这个图片里有一辆红色的自行车。

自行车依靠在栏杆上。

栏杆铁链上有圆形的孔洞。",7,1,1,2,1,5,4,
SS1608948095292,FD,images/free_description/02-bike.jpg,一座城堡一样的房子外面的路上停着一辆自行车，自行车靠着路边的一根栏杆。,3,1,0,1,0,6,4,
SS1608949381789,FD,images/free_description/02-bike.jpg,这有一辆红色的自行车，停在了草坪边上。,3,1,1,0,1,1,3,
SS1608954326224,FD,images/free_description/02-bike.jpg,楼外的草坪被铁链围住。草坪外的石板路上，一辆自行车倚靠着灯柱停着。,6,1,0,3,0,12,3,
SS1608954731700,FD,images/free_description/02-bike.jpg,一个红色的自行车停在栏杆边，栏杆在一片草坪外面。,6,1,1,0,1,4,3,
SS1608970887825,FD,images/free_description/02-bike.jpg,一片现代化的草地旁，有一根铁链防止有人进来践踏草地，停着一辆红色的被锁了的自行车。,4,1,0,2,2,5,4,
SS1608972269897,FD,images/free_description/02-bike.jpg,"有一片草坪，草坪上的草是绿色的。
一辆红色自行车停在草坪旁边",6,1,0,1,1,6,3,
SS1608977429765,FD,images/free_description/02-bike.jpg,这里看起来像一个干净整洁的富人区。豪斯前有一篇修齐的草坪。草坪前有一辆红色的山地车。,2,1,0,1,1,7,2,
SS1608996310483,FD,images/free_description/02-bike.jpg,"在一栋楼窗前的草地栏杆上，锁着一辆红色自行车。
",6,1,0,0,1,5,2,
SS1608996688173,FD,images/free_description/02-bike.jpg,晴朗的天气下的绿色草坪，后面是一栋欧式风格的建筑，草坪外有围栏，围栏上倚靠了一辆红色自行车,2,1,0,3,1,11,3,
SS1608997032951,FD,images/free_description/02-bike.jpg,一个栏杆前有一辆红色自行车，后面的墙边有个蓝色的垃圾桶,1,1,0,2,1,7,2,
SS1608997112698,FD,images/free_description/02-bike.jpg,一辆红色自行车靠在栏杆旁边。,7,1,1,0,1,2,3,
SS1608997232238,FD,images/free_description/02-bike.jpg,教学楼前一大片绿地，再近处是被铁链隔开的人行道，上面停了一辆红色的变速自行车,7,1,0,3,2,8,4,
SS1608997522324,FD,images/free_description/02-bike.jpg,有一块绿色的草坪，旁边停着一辆红色的自行车,6,1,0,1,1,2,3,
SS1608997707068,FD,images/free_description/02-bike.jpg,这张图片上有一辆自行车，自行车后面是一片草坪，草坪后面是一座房子。,2,1,1,0,0,3,2,
SS1608997774748,FD,images/free_description/02-bike.jpg,"在一个楼的草坪前，有一条马路，一辆自行车停靠在马路栏杆上。
",2,1,0,0,0,5,2,
SS1608997826306,FD,images/free_description/02-bike.jpg,和朋友们一起琦车出去玩真的是太开心了，不过现在疫情当前，我们还是以国家大任为重，别出去玩了。,7,0,1,0,0,0,0,
SS1608998177863,FD,images/free_description/02-bike.jpg,画面与水平线平行，从上到下、从远到近依次为灰色的房屋、绿色的草坪、黑色的围栏、红色的自行车。,2,1,0,3,1,6,2,
SS1608998191588,FD,images/free_description/02-bike.jpg,一辆红色的自行车靠在栏杆上。栏杆背后是洒满阳光的草坪。,7,1,1,1,1,4,3,
SS1608998414826,FD,images/free_description/02-bike.jpg,"一个房子的大草坪外放着一辆自行车，这个房子门前有很多自行车，还有一个蓝色漆桶。草坪很整洁干净。
",1,1,0,3,0,11,2,
SS1609000443345,FD,images/free_description/02-bike.jpg,一辆自行车停在草坪前的栏杆上，然而后面的楼前停了大量的自行车,7,1,1,2,0,7,2,
SS1609000763890,FD,images/free_description/02-bike.jpg,图片的背景是很大的一处草坪。草坪的边上有护栏，是那种一个一个的铁墩子，用链子连起来的。铁墩子边停着一个红色的自行车，是那种有着三角栏杆的越野自行车。,2,1,0,3,3,9,6,
SS1609001721768,FD,images/free_description/02-bike.jpg,一辆红色的自行车停在草坪围栏旁边。自行车用一把蓝色的锁锁住了。,4,1,1,1,1,2,6,
SS1609001790486,FD,images/free_description/02-bike.jpg,在一片绿油油的草坪前，有一排铁链围栏，围栏上靠着一辆红色的自行车,1,1,0,2,1,7,3,
SS1609002028914,FD,images/free_description/02-bike.jpg,后方是一片草坪。草坪上有一棵树。前方有一个围栏。有一辆自行车停靠在围栏上。,2,1,0,0,0,7,2,
SS1609005519115,FD,images/free_description/02-bike.jpg,自行车倚在栏杆上，栏杆后面是绿色的草坪，再往后是房子,6,1,1,1,0,7,2,
SS1609006007662,FD,images/free_description/02-bike.jpg,图片的中心偏右有一辆红色的自行车停靠在栅栏的柱子旁边。后面是一大片草坪，在草坪的后面有一栋建筑的墙面，停放了很多自行车。在墙面右侧的位置有一个蓝色的桶。,2,1,1,3,1,16,3,
SS1609029671133,FD,images/free_description/02-bike.jpg,一辆自行车停在了一块围起来的绿色草地前，图片右后方有一个蓝色垃圾桶,1,1,1,3,0,6,2,
SS1609032756992,FD,images/free_description/02-bike.jpg,"有一座房子，前面是草坪。
草坪前面有砖路和铁栏杆。
有一辆红色的自行车锁在栏杆上。",2,1,0,2,1,10,3,
SS1609034845673,FD,images/free_description/02-bike.jpg,一架鲜红的自行车停靠在草坪边上。广阔的草地上空无一物。,7,1,1,2,1,3,3,
SS1609035087170,FD,images/free_description/02-bike.jpg,有一个草地被铁链围起来了，旁边是一辆自行车，阳光很好。,6,1,0,2,0,6,1,
SS1609035269711,FD,images/free_description/02-bike.jpg,图片里有一座办公楼，楼前有一个大草坪，草坪边上停着一辆自行车,3,1,0,1,0,8,1,
SS1609035512006,FD,images/free_description/02-bike.jpg,自行车停在草坪旁的石子路上，好像与草坪的栏杆的铁链锁在一起，后面是建筑，像是一个教学楼,4,1,1,1,0,10,3,
SS1609035895621,FD,images/free_description/02-bike.jpg,一辆红色的自行车停在草地的栏杆外边。,6,1,1,0,1,2,3,
SS1609038166902,FD,images/free_description/02-bike.jpg,"一辆自行车，靠在草坪旁边的隔离栏上，远处有楼房。
",2,1,1,0,0,4,2,
SS1609038359555,FD,images/free_description/02-bike.jpg,画面主体是一栋比较英式的建筑楼，楼外侧有一个蓝色的类似垃圾桶的箱子。楼前有一大片修剪整齐的草坪，草坪外有护栏。一辆红色的自行车靠着护栏停放在草坪外。,6,1,0,3,1,13,4,
SS1609040322263,FD,images/free_description/02-bike.jpg,很多自行车停在草坪边上。草坪用铁栅栏围起来了。,3,1,1,2,0,8,0,
SS1609041102827,FD,images/free_description/02-bike.jpg,我看到一辆红色的山地车，停在草坪旁边，远处有楼房,2,1,1,0,1,3,3,
SS1609045009059,FD,images/free_description/02-bike.jpg,一辆自行车停在草丛边上。草丛用铁锁链围了起来，不让人进去。,7,1,1,1,0,5,2,
SS1609045159745,FD,images/free_description/02-bike.jpg,自行车停靠在路边，后面是一个杆子状的物体。再后面是一片草地和一座建筑物。,6,1,1,1,0,5,2,
SS1609047757543,FD,images/free_description/02-bike.jpg,中间是草坪。草坪上面是一个建筑。草坪下面是一条小路，路上停了一辆自行车。,3,1,0,1,0,7,2,
SS1609050562848,FD,images/free_description/02-bike.jpg,一辆红色的自行车被主人锁在了路灯杆上，后面的草地和建筑看起来像是欧美风格,7,1,1,1,1,5,3,
SS1609051064792,FD,images/free_description/02-bike.jpg,一辆红色的越野自行车，被锁在路边的栏杆上。,3,1,1,0,2,2,4,
SS1609054193360,FD,images/free_description/02-bike.jpg,一间房子前有块绿色的草地，草地前停了一辆红色的自行车。,5,1,0,1,1,4,3,
SS1609054420221,FD,images/free_description/02-bike.jpg,A bike is parked on the sidewalk near the fence. Beyond the fence is the lawn out of a building.,5,0,1,0,0,0,0,
SS1609056109961,FD,images/free_description/02-bike.jpg,"有一块绿绿的草坪。
小路边上有一辆红色的自行车。
草坪的后边有白色的房子。
",4,1,0,2,1,8,2,
SS1609056238065,FD,images/free_description/02-bike.jpg,"一幅描绘房屋前的照片。
背景有一大片草坪，看起来修理的很好。
中间靠着门栏停了一辆自行车。",4,1,0,2,0,5,2,
SS1609057298261,FD,images/free_description/02-bike.jpg,"有一辆红色山地自行车停靠在路边。
那个地方看起来像在校园里。
可能是某个上课的人停在那的。",5,1,1,0,1,1,4,
SS1609057764742,FD,images/free_description/02-bike.jpg,"貌似是一所大学。
一栋建筑前的大片草坪。
一辆自行车在画面的最前方。",7,1,0,1,1,3,1,
SS1609057903683,FD,images/free_description/02-bike.jpg,图片下方有一辆红色的自行车。自行车被锁在路边围栏的柱子上。围栏是英伦风格的，由柱子和锁链构成。围栏后方是草坪和建筑。,5,1,1,1,1,10,4,
SS1609062380695,FD,images/free_description/02-bike.jpg,一辆红色的自行车停在草地边上，背后有好多自行车。,7,1,1,1,1,3,3,
SS1609062423335,FD,images/free_description/02-bike.jpg,天气很好，草坪修整得很整齐，还有栅栏维护，一辆红色的自行车停在草坪边。,4,1,0,2,1,7,3,
SS1609064318009,FD,images/free_description/02-bike.jpg,画面中央有一辆红色的自行车被锁了起来，它停靠在栏杆附近。栏杆围着的是一片草坪，穿过草坪是一幢建筑，建筑附近有很多自行车。,2,1,1,0,1,9,4,
SS1609065406081,FD,images/free_description/02-bike.jpg,我看见一块绿草地，一个红色的自行车靠在绿草地的栏杆上,4,1,0,1,1,5,3,
SS1609073869026,FD,images/free_description/02-bike.jpg,在校园的一片绿地前停着一辆红色的自行车，就在图片的中央。自行车靠着绿地外围的围栏。,3,1,0,3,1,4,5,
SS1609075750358,FD,images/free_description/02-bike.jpg,一辆自行车绑在柱子上，后方是一大片嫩绿的草坪，以及露出的一点建筑物。,6,1,1,2,0,6,2,
SS1609079699037,FD,images/free_description/02-bike.jpg,房子外面有草坪，旁边停了自行车。,3,1,0,0,0,2,2,
SS1609086776753,FD,images/free_description/02-bike.jpg,一辆红色的自行车靠在灯柱上。自行车后方是草坪，再后方是灰色楼房。,6,1,1,2,1,4,4,
SS1609105368955,FD,images/free_description/02-bike.jpg,一架自行车倚靠在草地边缘的柱子上。,5,1,1,1,0,0,0,
SS1609116587428,FD,images/free_description/02-bike.jpg,大学校园里，某栋教学楼外面，停放着一辆自行车。,6,1,0,0,0,1,2,
SS1609121014512,FD,images/free_description/02-bike.jpg,看起来很像剑桥大学的苹果树附近，停着一辆红色的自行车。,3,1,0,1,1,0,3,
SS1609121221630,FD,images/free_description/02-bike.jpg,"一辆红色的自行车被停放在路边。
路边有漂亮的围栏和草坪。",3,1,1,1,1,5,3,
SS1609121912186,FD,images/free_description/02-bike.jpg,在一个草坪上，有一辆自行车，草坪上还有一栋房子,1,1,0,0,0,3,1,
SS1609125348720,FD,images/free_description/02-bike.jpg,一辆自行车停在路边，后面是小平房,6,1,1,1,0,3,2,
SS1609132098611,FD,images/free_description/02-bike.jpg,"一辆红色的单车锁在草地旁的栏杆上。
远处有许多单车停在草地上。
后面有一栋楼。",4,1,1,1,1,9,3,
SS1609139734485,FD,images/free_description/02-bike.jpg,路边有一辆自行车被锁在了草坪的护栏边上，是一辆红色的自行车，锁是蓝色的,1,1,0,1,1,3,6,
SS1609141291161,FD,images/free_description/02-bike.jpg,有一辆自行车停在鹅卵石路边。自行车靠在栏杆上，栏杆后是一块绿油油的草坪。远处还有很多废旧的自行车。,6,1,1,3,0,10,4,
SS1609143031482,FD,images/free_description/02-bike.jpg,一辆红色自行车停在道上，道路和草坪被黑色铁艺栏杆隔开（栏杆是一根根柱子间用铁链相连），草坪后方是建筑物,2,1,1,3,1,14,3,
SS1609144676893,FD,images/free_description/02-bike.jpg,我觉得拍摄地点应该是在欧美国家的某个大学校园吧。图片的主要内容是一辆靠在路边围栏上的自行车，围栏是由柱子和连接在柱子之间的铁链构成的。图片中还有一排靠在石质大建筑墙上的自行车。,7,1,0,0,0,7,2,
SS1609146491935,FD,images/free_description/02-bike.jpg,一个红色自行车被蓝色锁头所在了草坪旁边的路灯上。,3,1,1,1,1,2,5,
SS1609156148777,FD,images/free_description/02-bike.jpg,这是一辆红色的单车停在一片绿地旁边，图片的背景看起来像一所大学的校园。,3,1,1,1,1,4,3,
