subject,task_name,trial_raw,trial_num,stimulus,codeable,person_attribution,situation_attribution,note
SS1608998177863,CA,因为路茜不会骑自行车，她怕骑车让她摔倒。,2,Lucy,1,1,0,
SS1608998191588,CA,凯丽没有骑自行车是因为自行车骑起来很危险，而不是因为她怕了。因为之前凯丽往水里跳的时候没有怕，说明她是个勇敢的人，也因为露西也没有骑这辆车子，所以是自行车的原因而不是凯丽的原因。,1,Kelly,1,0,2,
SS1608998191588,CA,因为璐茜是那种会怕怕的人。因为璐西面对的这个车子很矮并不危险。,2,Lucy,1,1,0,
SS1608998414826,CA,她有可能是车技不娴熟，而且所在地段为森林的下坡地段，比较危险，所以不骑自行车。,1,Kelly,1,1,1,
SS1608998414826,CA,璐西不骑自行车的原因应该不是害怕，应该是她不会骑自行车，骑车很危险。,2,Lucy,1,1,0,
SS1609000443345,CA,因为这辆自行车骑起来很危险，她敢跳到水里说明她不是会怕怕的人,1,Kelly,1,0,1,
SS1609000443345,CA,因为这辆自行车骑起来很危险，她敢跳到水里面说明她不是会怕怕的人,2,Lucy,1,0,1,
SS1609000763890,CA,我认为凯丽是因为这辆自行车看起来会有危险，所以她没有骑。因为她不害怕在池塘里有用，她看起来不像是一个会怕怕的人。,1,Kelly,1,0,1,
SS1609000763890,CA,璐茜没有骑自行车的原因，我认为和凯丽一样。因为她们都不害怕在池塘里有用，因此我不认为她们是会怕怕的人。因此有可能是因为这辆自行车看起来有些危险，所以她们选择不骑。,2,Lucy,1,0,1,
SS1609001721768,CA,因为她害怕骑自行车。她是个勇敢的孩子，这辆车看起来也不危险，但是她就是害怕骑自行车。,1,Kelly,1,2,1,
SS1609001721768,CA,因为她害怕骑自行车。她是个勇敢的孩子，这辆自行车看起来也不危险，她就是害怕骑自行车。,2,Lucy,1,2,1,
SS1609001790486,CA,是因为露西怕了不敢骑自行车，这让凯丽觉得自行车危险。,1,Kelly,1,1,1,
SS1609001790486,CA,"她刚才不怕下水，证明她不是会怕怕的人，而现在不敢骑车，应该是骑车很危险。
",2,Lucy,1,0,1,
SS1609002028914,CA,因为她是那种会怕怕的人，她害怕骑自行车。,1,Kelly,1,1,0,
SS1609002028914,CA,璐茜不骑自行车是因为她那种会怕怕的人，她害怕骑自行车。,2,Lucy,1,1,0,
SS1609005519115,CA,凯丽不骑自行车，因为这辆自行车骑起来很危险,1,Kelly,1,0,1,
SS1609005519115,CA,璐茜不骑自行车，是因为这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609006007662,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609006007662,CA,"璐茜不骑自行车是因为这辆自行车骑起来很危险。
",2,Lucy,1,0,1,
SS1609029671133,CA,她不是胆小的人，但是她不会骑自行车，或者自行车坏了，骑起来很危险,1,Kelly,1,2,1,
SS1609029671133,CA,璐茜可能不会骑自行车或者自行车让她觉得很危险,2,Lucy,1,2,0,
SS1609032756992,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609032756992,CA,璐茜不骑自行车是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609034845673,CA,凯丽不骑自行车的原因是这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609034845673,CA,璐茜不骑自行车的原因是这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609035087170,CA,因为凯丽是那种会怕怕的人。（增加字符增加字符）,1,Kelly,1,1,0,
SS1609035087170,CA,因为她会怕怕。（增加字符增加字符增加字符）,2,Lucy,1,1,0,
SS1609035269711,CA,凯丽不骑自行车是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609035269711,CA,璐西不骑自行车是因为他是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609035512006,CA,因为她是那种会怕怕的人，所以凯丽没有骑自行车。,1,Kelly,1,1,0,
SS1609035512006,CA,因为她是那种会怕怕的人，所以璐西没有骑自行车。,2,Lucy,1,1,0,
SS1609035895621,CA,都有可能，但鉴于她并没有害怕往水里跳，很可能是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609035895621,CA,都有。她会怕，自行车也可能不安全，她害怕不安全的自行车会带来伤害。,2,Lucy,1,3,2,
SS1609038166902,CA,"因为这辆自行车骑起来很危险，所以凯丽不骑自行车。
",1,Kelly,1,0,1,
SS1609038166902,CA,璐茜不骑自行车是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609038359555,CA,因为她可能不会骑自行车，而且她是那种会害怕的人。,1,Kelly,1,2,0,
SS1609038359555,CA,因为她穿着裙子，而这辆自行车骑起来很危险。,2,Lucy,1,0,2,
SS1609040322263,CA,凯丽不骑自行车是因为觉得骑起来危险，她不是那种会怕怕的人，因为她敢勇敢地跳进湖里。,1,Kelly,1,1,0,
SS1609040322263,CA,璐茜不骑自行车，不是因为她是那种会怕怕的人，她都敢跳进湖水里，主要是因为自行车骑起来在树林里很危险。,2,Lucy,1,1,1,
SS1609041102827,CA,因为她怕了，她觉得骑自行车很危险，但是她不是很胆小的人,1,Kelly,1,1,1,
SS1609041102827,CA,因为她怕了，因为她觉得这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609045009059,CA,凯丽没有骑自行车是因为这辆自行车骑起来很危险，不是因为她是那种会怕怕的人，实际上她勇敢地跳进了水里。,1,Kelly,1,0,1,
SS1609045009059,CA,璐茜不骑自行车不是因为她是那种会怕怕的人，她都能跳进水里，而是因为这辆车她觉得骑起来很危险。,2,Lucy,1,0,1,
SS1609045159745,CA,凯丽觉得自行车的锁没有被打开，所以认为是危险的。,1,Kelly,1,2,0,
SS1609045159745,CA,璐茜觉得自行车的锁没有被打开，所以认为是危险的。,2,Lucy,1,2,0,
SS1609047757543,CA,凯里害怕了，所以没有骑自行车。我觉得她是认为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609047757543,CA,璐茜因为怕了，所以没骑自行车。我认为她是觉得这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609050562848,CA,凯丽并不是对一切都害怕的女孩，因为她不怕水，所以她不骑自行车是因为这辆自行车骑起来很危险,1,Kelly,1,0,1,
SS1609050562848,CA,璐茜不怕水，所以更可能的是这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609051064792,CA,凯丽没有骑自行车是因为这辆自行车骑起来很危险,1,Kelly,1,0,1,
SS1609051064792,CA,"路茜没有骑自行车是因为她对骑自行车感到害怕
",2,Lucy,1,0,1,
SS1609054193360,CA,因为这辆车骑起来很危险，她敢跳水说明她不是那种会怕怕的人,1,Kelly,1,0,1,
SS1609054193360,CA,因为这辆自行车骑起来很危险，她不是那种会怕怕的人,2,Lucy,1,1,1,
SS1609054420221,CA,She didn't ride the bike because she is one of those who is afraid of riding bikes. This bike is not dangerous to ride.,1,Kelly,0,0,0,
SS1609054420221,CA,Because she is afraid of riding bikes. The bike is not dangerous.,2,Lucy,0,0,0,
SS1609056109961,CA,是因为这辆自行车骑起来很危险，凯丽会疼，她就不骑自行车。,1,Kelly,1,0,1,
SS1609056109961,CA,璐茜是那种会怕怕的人，所以他不骑自行车。,2,Lucy,1,1,0,
SS1609056238065,CA,因为这辆自行车骑起来很危险，她骑的时候会害怕。,1,Kelly,1,0,1,
SS1609056238065,CA,因为这辆自行车看着有点坏了，骑起来会很危险，璐茜很害怕。,2,Lucy,1,0,1,
SS1609057298261,CA,凯丽可以做到勇敢地跳下水，所以不骑自行车我认为不是因为她是那种会怕怕的人，而是这辆自行车相比于跳水来说更危险。,1,Kelly,1,0,1,
SS1609057298261,CA,璐茜同样也勇敢地跳下水，所以我认为她不是会怕怕的人，我认为可能是因为她穿的小裙子骑起来会不方便。,2,Lucy,1,0,1,
SS1609057764742,CA,凯丽没有骑自行车，因为她害怕骑自行车，自行车骑起来很危险。,1,Kelly,1,1,1,
SS1609057764742,CA,璐西不骑自行车，因为自行车骑起来很危险，她害怕了。,2,Lucy,1,0,1,
SS1609057903683,CA,凯丽不骑自行车的原因是这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609057903683,CA,璐茜不骑自行车的原因是这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609062380695,CA,凯丽不是会害怕的人，她不骑这辆车是因为这辆车看起来很危险。,1,Kelly,1,0,1,
SS1609062380695,CA,露西也不是那种会怕怕的人，她不骑车也是因为这辆车骑起来很危险。,2,Lucy,1,1,1,
SS1609062423335,CA,视频里原话是说她怕了，但是并没有解释她为什么怕，不知道是因为她自己无缘无故怕，还是因为自行车看起来危险。,1,Kelly,1,0,0,
SS1609062423335,CA,视频里说她怕了，但是没有解释她为什么会怕，即我们并不知道她是那种无缘无故害怕的人，还是因为自行车骑起来危险。,2,Lucy,1,0,0,
SS1609064318009,CA,凯丽不骑自行车可能是因为她认为这辆自行车骑起来很危险。,1,Kelly,1,1,0,
SS1609064318009,CA,璐茜不骑自行车很有可能因为她认为这辆自行车骑起来很危险。,2,Lucy,1,1,0,
SS1609065406081,CA,因为凯丽害怕了，她可能是那种会怕怕的人吧,1,Kelly,1,1,0,
SS1609065406081,CA,可能是因为她怕了吧，璐茜可能是那种会怕怕的人吧,2,Lucy,1,1,0,
SS1609073869026,CA,凯丽敢跳进水里，所以她不是会害怕的人，所以应该是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609073869026,CA,露西敢跳进水里，所以她不是那种会害怕的人，所以应该是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609075750358,CA,因为这辆自行车骑起来很危险，凯丽害怕骑这辆自行车,1,Kelly,1,1,1,
SS1609075750358,CA,因为这辆自行车骑起来很危险，露西害怕骑这辆自行车。,2,Lucy,1,1,1,
SS1609079699037,CA,因为这种自行车看起来危险，凯丽怕骑这种自行车。,1,Kelly,1,1,1,
SS1609079699037,CA,因为这辆自行车骑起来很危险，所以她不骑自行车。,2,Lucy,1,0,1,
SS1609086776753,CA,凯丽不怕在水里玩，所以她很胆大。她之所以不骑自行车，是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609086776753,CA,璐茜敢下水玩，所以她不是很容易害怕的人，她之所以不骑自行车是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609105368955,CA,凯丽可能只是不会骑自行车，怕摔倒。她都敢往水里跳，说明她不是一个胆小的人。,1,Kelly,1,1,0,
SS1609105368955,CA,璐茜的表现跟凯丽一样，所以我给出的答案也一样。,2,Lucy,1,1,0,
SS1609116587428,CA,因为这辆自行车骑起来很危险，她会感到害怕。,1,Kelly,1,0,1,
SS1609116587428,CA,因为这辆自行车骑起来很危险，她感到害怕。,2,Lucy,1,0,1,
SS1609121014512,CA,我不清楚凯丽为什么不骑车，视屏说她怕了，那就是怕了。这要怎么凑够20个字？,1,Kelly,1,0,0,
SS1609121014512,CA,"我觉得她是那种会怕怕的人，所以不骑自行车
",2,Lucy,1,1,0,
SS1609121221630,CA,因为凯丽觉得骑车会很危险，所以凯丽害怕了。,1,Kelly,1,1,0,
SS1609121221630,CA,璐茜不是那种会害怕的人，所以她是觉得这辆自行车骑起来很危险。,2,Lucy,1,2,0,
SS1609121912186,CA,凯丽不骑自行车是因为她是那种害怕骑自行车的人。,1,Kelly,1,1,0,
SS1609121912186,CA,璐茜不愿意骑自行车是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609125348720,CA,因为凯丽害怕骑自行车，所以她不骑自行车。,1,Kelly,1,1,0,
SS1609125348720,CA,因为璐茜害怕骑自行车，所以她不骑自行车。,2,Lucy,1,1,0,
SS1609132098611,CA,因为凯丽认为骑自行车很危险，所以她害怕骑自行车，但并不能代表她是会怕怕的人。,1,Kelly,1,2,0,
SS1609132098611,CA,因为璐茜认为骑自行车可能有危险，所以她决定不去骑自行车。,2,Lucy,1,1,0,
SS1609139734485,CA,因为她看见其他人害怕骑自行车，所以也对自行车产生了恐惧,1,Kelly,1,1,1,
SS1609139734485,CA,因为她不会骑自行车，她连游泳都不怕，不应该是会怕的人,2,Lucy,1,2,0,
SS1609141291161,CA,我觉得可能是因为这辆自行车对她来说骑起来很危险。,1,Kelly,1,1,0,
SS1609141291161,CA,我认为露西可能也觉得这辆自行车骑起来很危险。,2,Lucy,1,1,0,
SS1609143031482,CA,凯丽在模仿前一个黄裙女孩的行为，黄裙女孩没有骑，她便也没有骑,1,Kelly,1,0,1,
SS1609143031482,CA,我猜测是因为这辆自行车骑起来很危险，因为她并不怕跳到潭中泡水，说明她并不是容易害怕的人,2,Lucy,1,0,1,
SS1609144676893,CA,我觉因为自行车骑起来很危险。因为凯丽连跳水都不怕。,1,Kelly,1,0,1,
SS1609144676893,CA,我觉得是因为这辆自行车骑起来很危险，因为璐西并不怕跳进野池塘里。,2,Lucy,1,0,1,
SS1609146491935,CA,凯莉没有骑自行车因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609146491935,CA,璐茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609156148777,CA,因为这辆车骑起来很危险，她连跳河都不会害怕。,1,Kelly,1,0,1,
SS1609156148777,CA,因为这辆自行车骑起来很危险，因为她也不怕跳河。,2,Lucy,1,0,1,
SS1609163312228,CA,她不会骑自行车。她是一个不怕冷的人，所以有足够的勇气去骑车。但不会的话，有勇气也没有用。,1,Kelly,1,2,0,
SS1609163312228,CA,她过去了却没有骑自行车，因为不会骑车。自行车看上去是没有问题的。,2,Lucy,1,1,1,
SS1609166832692,CA,凯丽不骑自行车是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609166832692,CA,璐茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609206019548,CA,凯丽勇敢的往水里跳，迎来不是会怕怕的人，所以应该是自行车看起来很危险，但是我觉得不骑自行车的原因有很多，布置列举出来这两个。,1,Kelly,1,0,1,
SS1609206019548,CA,露西会往水里跳，所以她不是那种会怕怕的人，因此可能是自行车很危险，也可能是别的原因。,2,Lucy,1,0,1,
SS1609208930844,CA,凯丽不会骑自行车车，所以她害怕骑自行车，所以她没有骑自行车。,1,Kelly,1,1,0,
SS1609208930844,CA,同理，璐茜也不会骑自行车，她也不敢骑自行车，所以她不骑自行车。,2,Lucy,1,1,0,
SS1609213276315,CA,因为她看见露西害怕骑，于是她也不敢骑了。,1,Kelly,1,0,1,
SS1609213276315,CA,这自行车太小了，她是因为不好骑才不骑车的，,2,Lucy,1,0,1,
SS1609214157015,CA,因为这辆自行车骑起来很危险，不一定是怕。,1,Kelly,1,1,1,
SS1609214157015,CA,她不是会怕的人，应该是这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609222543224,CA,是因为这辆自行车看起来很危险，，，，，，，,1,Kelly,1,0,1,
SS1609222543224,CA,是因为这辆自行车看起来很危险，，，，，，,2,Lucy,1,0,1,
SS1609223067371,CA,在树林中的湖里游泳，说明她的胆子不小。并且路西也不骑这辆自行车，所以这辆自行车骑起来很危险。,1,Kelly,1,0,2,
SS1609223067371,CA,在树林中的湖里游泳，说明她的胆子不小。并且两人也不骑这辆自行车，所以这辆自行车骑起来很危险。,2,Lucy,1,0,2,
SS1609225913111,CA,因为这辆自行车骑起来危险，因为她不怕水，所以他不是会怕怕的人。,1,Kelly,1,0,1,
SS1609225913111,CA,陆茜不骑自行车是因为这辆自行车骑起来危险，而不是因为怕怕。因为她不怕水，很有勇气。,2,Lucy,1,0,1,
SS1609229037242,CA,是因为这辆自行车骑起来很危险，因为凯莉不怕往水里跳，说明她胆子不小，但是她却没骑自行车，是因为她担心自行车太危险了。,1,Kelly,1,0,1,
SS1609229037242,CA,路西也是因为这辆自行车骑起来很危险，和凯莉没区别。,2,Lucy,1,0,1,
SS1609229287946,CA,凯丽看起来不是那种会怕怕的人，所以我认为凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609229287946,CA,我认为璐茜是那种会怕怕的人，所以她不骑自行车。,2,Lucy,1,1,0,
SS1609233742402,CA,凯莉没有骑自行车，因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609233742402,CA,璐茜没有骑自行车，因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609234368670,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609234368670,CA,露茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609236181354,CA,凯丽敢跳进水里，她不害怕水，说明凯丽不是那种会怕怕的人，但凯丽不敢骑自行车，说明这辆自行车骑起来很危险,1,Kelly,1,0,1,
SS1609236181354,CA,璐茜敢跳进水里，说明璐茜不怕水，不是那种会怕怕的人，但她不敢骑自行车，说明璐茜觉得这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609238981425,CA,凯丽不骑自行车，是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609238981425,CA,璐茜不骑自行车，是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609241808889,CA,凯莉不骑自行车是因为她怕了，她怕的原因是因为骑自行车骑起来会危险。,1,Kelly,1,0,1,
SS1609241808889,CA,璐茜不起自行车，是因为她怕了，自行车骑起来会危险。,2,Lucy,1,0,1,
SS1609242245499,CA,凯丽不骑自行车是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609242245499,CA,璐析不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609248452680,CA,凯丽不骑自行车的原因是她害怕自行车不安全。,1,Kelly,1,1,0,
SS1609248452680,CA,璐茜不骑自行车是因为她觉得自行车不安全。,2,Lucy,1,1,0,
SS1609252307381,CA,她不是那种会怕的人，因为她敢往河里跳呢。,1,Kelly,1,0,0,?
SS1609252307381,CA,她也不是那种会怕怕的人，因为她敢往水里跳,2,Lucy,1,0,0,?
SS1609254302236,CA,凯丽不害怕向湖水中跳，这说明凯丽不是那种怕怕的人，因此是这辆自行车骑起来很危险。,1,Kelly,1,0,1,?
SS1609254302236,CA,璐茜不害怕跳湖，因此她不是那种会怕怕的人，而是这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609301941699,CA,因为这辆自行车骑起来很危险，露西和凯利都不敢骑这辆自行车，但是露西和凯利都敢去河里游泳。,1,Kelly,1,0,1,?
SS1609301941699,CA,因为这辆自行车骑起来很危险，因为露西和凯利都不敢骑这辆自行车但是他们都敢去河里游泳。,2,Lucy,1,0,1,
SS1609304537384,CA,因为他脑子不正常她怕怕，，，，，，，，，,1,Kelly,1,1,0,
SS1609304537384,CA,因为他脑子不正常她怕怕。。。。。。。。。,2,Lucy,1,1,0,
SS1609311437110,CA,因为自行车坏了，，，，，，，，，，，，，,1,Kelly,1,0,1,
SS1609311437110,CA,因为自行车坏了，，，，，，，，，，，，，，,2,Lucy,1,0,1,
SS1609314218600,CA,她不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609314218600,CA,她不骑自行车是因为这两自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609315463105,CA,因为凯丽认为这辆自行车骑起来很危险而且之前的小女孩也没骑,1,Kelly,1,1,1,
SS1609315463105,CA,因为璐茜觉得骑自行很危险而且也有可能是因为她不会骑,2,Lucy,1,2,0,
SS1609318098340,CA,因为这辆自行车骑起来很危险，附近并没有适合自行车行驶的道路。,1,Kelly,1,0,2,
SS1609318098340,CA,因为这辆自行车骑起来很危险，附近没有适合骑行的道路。,2,Lucy,1,0,2,
SS1609382454367,CA,"因为凯丽的腿分不开，可能是动画技术限制吧。
根据视频，也可能是凯丽怕了。",1,Kelly,1,1,0,
SS1609382454367,CA,我觉得，好像，可能是露西是那种会怕怕的人吧。,2,Lucy,1,1,0,
SS1609382677476,CA,凯丽不骑自行车是因为凯丽是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609382677476,CA,璐茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609383084698,CA,凯丽不骑自行车因为这辆自行车在凯丽看来有些危险。,1,Kelly,1,1,0,
SS1609383084698,CA,璐西不骑自行车因为这辆自行车在璐西看来有些危险。,2,Lucy,1,1,0,
SS1609383467951,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险,1,Kelly,1,0,1,
SS1609383467951,CA,璐茜不骑自行车是因为这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609383545426,CA,凯丽不骑自行车是因为她是那种会怕怕的人。,1,Kelly,1,1,0,
SS1609383545426,CA,璐茜不骑自行车是因为她是那种会怕怕的人。,2,Lucy,1,1,0,
SS1609383938335,CA,凯丽不骑自行车是因为这辆自行车看起来很危险,1,Kelly,1,0,1,
SS1609383938335,CA,璐茜没有骑自行车是因为这辆自行车骑起来很危险,2,Lucy,1,0,1,
SS1609385308642,CA,凯丽不骑自行车是因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609385308642,CA,璐茜不骑自行车，是因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609385581333,CA,凯丽或许是因为骑自行车不熟练所以觉得危险，凯丽敢跳水所以不是胆小的人。,1,Kelly,1,1,0,
SS1609385581333,CA,璐茜也是敢跳水的，所以不胆小，应该是因为骑自行车危险。,2,Lucy,1,0,1,
SS1609386384117,CA,因为露丝没有骑这辆自行车，而且这辆自行车看起来很危险,1,Kelly,1,0,2,
SS1609386384117,CA,她不是会怕的人，而是这辆自行车看起来很危险。,2,Lucy,1,0,1,
SS1609387365186,CA,这辆自行车骑起来很危险，因为露西也没有骑这辆自行车，而面对小湖她们都没有怕,1,Kelly,1,0,2,?
SS1609387365186,CA,这辆自行车骑起来很危险，因为她不怕进水。,2,Lucy,1,0,1,
SS1609388348920,CA,凯丽不骑自行车因为这辆自行车骑起来很危险。,1,Kelly,1,0,1,
SS1609388348920,CA,璐茜不骑自行车因为这辆自行车骑起来很危险。,2,Lucy,1,0,1,
SS1609390330971,CA,因为这辆自行车骑起来很危险。她不是那种会怕怕的人，因为她敢跳进水里。,1,Kelly,1,0,1,
SS1609390330971,CA,是因为这辆自行车骑起来很危险。她不是那会怕怕的人，因为她敢跳进水里。,2,Lucy,1,0,1,
